sign_id,Shape,RFRAME,LFRAME,SEQUENCE,TC,OVERHEAD,CONDITION,SUPPORT,mutcd_code,ID,long,lat,alt,X1,Y1,X2,Y2,rclink,RouteNo,County,District,ImagePath,physical_condition,overhead_type,frame_id_2018,frame_path_2018,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1953,,9153,9154,FR_I285_Lane5_CW_Run1(0).avi,53275.467,0,3,0,M1-1,544,-84.24924553,33.79588248,311.1897011,1824.06544,794.29401,1382.97419,779.62857,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\09153.jpg"" width=""512"" height=""384"" />",Dirty,Ground,6897,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06897.jpg,1823.76,704,2004.3,865.28
1956,,9068,9071,FR_I285_Lane5_CW_Run1(0).avi,53258.695,1,0,0,E1-1,548,-84.24983808,33.79940097,321.5124708,166.92115,204.81116,193.27862,391.3409,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\09068.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
1959,,9016,9017,FR_I285_Lane5_CW_Run1(0).avi,53247.435,0,0,0,W4-2,551,-84.25023808,33.80194563,311.1894301,2340.31501,742.68076,1667.50317,747.85624,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\09016.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,None,None,None,None,None,None
1961,,8995,8996,FR_I285_Lane5_CW_Run1(0).avi,53242.976,4,0,0,D3-1,553,-84.25025405,33.80276232,313.3462762,172.86083,226.83963,190.9106,335.13825,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08995.jpg"" width=""512"" height=""384"" />",Good Condition,Bridge-Mounted,None,None,None,None,None,None
1962,,8984,8986,FR_I285_Lane5_CW_Run1(0).avi,53240.907,4,0,0,D3-1,554,-84.25032321,33.80327458,311.4161772,267.537,62.10571,264.63608,354.52609,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08984.jpg"" width=""512"" height=""384"" />",Good Condition,Bridge-Mounted,None,None,None,None,None,None
1965,,8939,8940,FR_I285_Lane5_CW_Run1(0).avi,53231.453,0,0,0,E5-1a,557,-84.25065912,33.80535836,303.8438665,2360.89032,617.18065,1679.51152,636.35852,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08939.jpg"" width=""512"" height=""384"" />",Surface Failure,Ground,6685,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06685.jpg,1716.66,616.96,1989,844.8
1968,,8907,8909,FR_I285_Lane5_CW_Run1(0).avi,53225.182,1,0,0,E0-1a,560,-84.2507812,33.80655151,308.2125448,717.85337,168.13592,603.3432,311.72882,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08907.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
1969,,8906,8908,FR_I285_Lane5_CW_Run1(0).avi,53224.975,1,0,0,E6-2a,561,-84.25071299,33.80661786,306.4803114,30.81435,285.70032,91.69274,384.97533,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08906.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
1972,,8863,8864,FR_I285_Lane5_CW_Run1(0).avi,53215.796,0,0,0,M3-3,564,-84.25109886,33.80866239,304.3081298,1858.33162,643.65711,1525.8221,660.89084,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08863.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6611,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06611.jpg,2285.82,624.64,2383.74,706.56
1973,,8863,8864,FR_I285_Lane5_CW_Run1(0).avi,53215.796,0,0,0,M1-1,565,-84.25109756,33.80866462,303.6095326,1858.33162,747.05947,1522.78085,738.94948,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08863.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6611,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06611.jpg,2255.22,701.44,2392.92,844.8
1974,,8859,8860,FR_I285_Lane5_CW_Run1(0).avi,53214.98,0,0,0,R553-7,566,-84.2511343,33.80886056,304.2791138,2219.94747,724.81382,1783.36866,727.07005,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08859.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6606,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06606.jpg,2053.26,609.28,2236.86,852.48
1976,,8840,8841,FR_I285_Lane5_CW_Run1(0).avi,53211.074,0,0,0,D10-4,568,-84.25123995,33.8096924,307.0194259,2115.89614,681.99072,1719.52046,693.14196,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08840.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6588,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06588.jpg,2377.62,588.8,2438.82,793.6
1977,,8809,8810,FR_I285_Lane5_CW_Run1(0).avi,53204.724,0,0,0,W4-3,569,-84.25136055,33.81111584,311.2318267,1951.83041,568.97788,1432.89954,619.74286,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08809.jpg"" width=""512"" height=""384"" />",Dirty,Ground,6557,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06557.jpg,2187.9,465.92,2386.8,785.92
1979,,8784,8785,FR_I285_Lane5_CW_Run1(0).avi,53199.815,0,0,0,D9-13a,571,-84.25155991,33.81214569,313.7087759,1962.18845,741.32911,1660.82963,736.24288,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08784.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,None,None,None,None,None,None
1980,,8767,8768,FR_I285_Lane5_CW_Run1(0).avi,53196.436,0,0,0,D9-18,572,-84.25160516,33.81295208,317.0364459,1889.459,551.7845,1482.94583,594.36194,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08767.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,None,None,None,None,None,None
1982,,8722,8723,FR_I285_Lane5_CW_Run1(0).avi,53187.481,0,0,0,R2-1,574,-84.25182899,33.81497765,319.1768369,1845.55668,622.12719,1359.34101,658.22673,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08722.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6471,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06471.jpg,2028.78,506.88,2270.52,849.92
1986,,8694,8695,FR_I285_Lane5_CW_Run1(0).avi,53181.571,0,0,0,E5-1b,578,-84.25199787,33.81623259,317.9704184,2288.56025,494.25793,1613.16068,571.89006,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08694.jpg"" width=""512"" height=""384"" />",Good Condition,Ground,6442,../../Data/i285_2018/FR_20180816_I285_EB_run1/images/images0004/06442.jpg,1670.76,496.64,1946.16,750.08
1990,,8660,8662,FR_I285_Lane5_CW_Run1(0).avi,53174.924,1,0,0,E6-2a,582,-84.25212118,33.8175316,322.3977411,658.28541,62.10571,551.99718,228.42621,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08660.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
1991,,8655,8657,FR_I285_Lane5_CW_Run1(0).avi,53173.921,1,0,0,E6-2a,583,-84.25204766,33.81759717,321.1458788,25.09624,391.80106,75.78367,459.72221,891040700,407,89,7,"<img src=""C:\I-285\FR_I285_Lane5_CW_Run1(0)\08655.jpg"" width=""512"" height=""384"" />",Good Condition,Sign Bridge,None,None,None,None,None,None
