SignId,Id,X,Y,Z,Retro,angle,distance,UTC
1,37391,33.7872584,-84.4055621,244.939,0.67,-0.12703,8.902,66090.350
1,37392,33.7872583,-84.4055620,244.848,0.72,-0.13731,8.903,66090.350
1,37393,33.7872582,-84.4055617,244.760,0.74,-0.14758,8.894,66090.350
1,37394,33.7872581,-84.4055615,244.672,0.75,-0.15786,8.882,66090.350
1,37455,33.7872580,-84.4055621,245.047,0.75,-0.11685,8.775,66090.363
1,37456,33.7872580,-84.4055620,244.957,0.75,-0.12713,8.781,66090.363
1,37457,33.7872579,-84.4055618,244.869,0.75,-0.13740,8.775,66090.363
1,37458,33.7872578,-84.4055617,244.780,0.76,-0.14768,8.774,66090.363
1,37459,33.7872577,-84.4055615,244.692,0.75,-0.15795,8.772,66090.363
1,37460,33.7872577,-84.4055613,244.604,0.75,-0.16823,8.766,66090.363
1,37523,33.7872577,-84.4055621,245.063,0.75,-0.11685,8.660,66090.376
1,37524,33.7872576,-84.4055618,244.977,0.75,-0.12712,8.650,66090.376
1,37525,33.7872575,-84.4055618,244.888,0.75,-0.13740,8.655,66090.376
1,37526,33.7872574,-84.4055615,244.802,0.75,-0.14767,8.646,66090.376
1,37527,33.7872574,-84.4055615,244.712,0.75,-0.15795,8.661,66090.376
1,37528,33.7872573,-84.4055613,244.626,0.75,-0.16822,8.651,66090.376
1,37529,33.7872572,-84.4055612,244.538,0.71,-0.17850,8.658,66090.376
1,37591,33.7872573,-84.4055622,245.078,0.77,-0.11674,8.554,66090.390
1,37592,33.7872572,-84.4055620,244.993,0.76,-0.12702,8.546,66090.390
1,37593,33.7872572,-84.4055619,244.904,0.74,-0.13729,8.557,66090.390
1,37594,33.7872571,-84.4055617,244.820,0.75,-0.14757,8.545,66090.390
1,37595,33.7872570,-84.4055614,244.735,0.75,-0.15784,8.536,66090.390
1,37596,33.7872569,-84.4055612,244.651,0.75,-0.16812,8.525,66090.390
1,37597,33.7872568,-84.4055610,244.565,0.75,-0.17839,8.526,66090.390
1,37598,33.7872568,-84.4055610,244.477,0.60,-0.18867,8.537,66090.390
1,37660,33.7872570,-84.4055622,245.179,0.70,-0.10657,8.437,66090.403
1,37661,33.7872569,-84.4055621,245.094,0.75,-0.11684,8.433,66090.403
1,37662,33.7872568,-84.4055619,245.010,0.75,-0.12712,8.425,66090.403
1,37663,33.7872568,-84.4055618,244.924,0.75,-0.13739,8.425,66090.403
1,37664,33.7872567,-84.4055617,244.837,0.75,-0.14766,8.434,66090.403
1,37665,33.7872566,-84.4055614,244.756,0.75,-0.15794,8.414,66090.403
1,37666,33.7872566,-84.4055613,244.670,0.74,-0.16821,8.417,66090.403
1,37667,33.7872565,-84.4055612,244.584,0.75,-0.17849,8.424,66090.403
1,37668,33.7872564,-84.4055609,244.502,0.75,-0.18876,8.410,66090.403
1,37726,33.7872566,-84.4055622,245.195,0.75,-0.10656,8.323,66090.416
1,37727,33.7872565,-84.4055620,245.112,0.76,-0.11684,8.305,66090.416
1,37728,33.7872565,-84.4055619,245.027,0.75,-0.12711,8.309,66090.416
1,37729,33.7872565,-84.4055619,244.941,0.75,-0.13739,8.324,66090.416
1,37730,33.7872563,-84.4055616,244.860,0.75,-0.14766,8.303,66090.416
