SignId,Id,X,Y,Z,Retro,UTC
1,426861,33.773464,-84.3991046,297.721,0.71,64527.64698
1,426988,33.7734636,-84.3991048,297.723,0.73,64527.6603
1,427115,33.7734632,-84.3991048,297.722,0.75,64527.67362
1,427116,33.7734631,-84.3991049,297.57,0.62,64527.67365
1,427242,33.7734627,-84.3991049,297.722,0.76,64527.68694
1,427243,33.7734626,-84.3991048,297.571,0.71,64527.68697
1,427369,33.7734623,-84.3991049,297.873,0.71,64527.70022
1,427370,33.7734622,-84.399105,297.724,0.75,64527.70026
1,427371,33.7734622,-84.3991051,297.575,0.74,64527.70029
1,427497,33.7734618,-84.3991049,297.87,0.74,64527.71354
1,427498,33.7734618,-84.3991051,297.723,0.76,64527.71357
1,427499,33.7734618,-84.3991052,297.575,0.73,64527.7136
1,427626,33.7734614,-84.3991051,297.869,0.74,64527.72686
1,427627,33.7734613,-84.3991051,297.722,0.76,64527.72689
1,427628,33.7734613,-84.3991052,297.576,0.73,64527.72692
1,427629,33.7734613,-84.3991054,297.429,0.7,64527.72696
1,427755,33.773461,-84.3991053,298.017,0.71,64527.74014
1,427756,33.7734609,-84.3991051,297.869,0.74,64527.74017
1,427757,33.773461,-84.3991054,297.725,0.74,64527.74021
1,427758,33.7734609,-84.3991054,297.579,0.73,64527.74024
1,427759,33.7734609,-84.3991054,297.433,0.73,64527.74027
1,427885,33.7734606,-84.3991054,298.013,0.72,64527.75346
1,427886,33.7734605,-84.3991053,297.868,0.74,64527.75349
1,427887,33.7734604,-84.3991052,297.722,0.75,64527.75352
1,427888,33.7734605,-84.3991056,297.579,0.73,64527.75356
1,427889,33.7734604,-84.3991055,297.434,0.75,64527.75359
1,428016,33.77346,-84.3991053,298.01,0.75,64527.76678
1,428017,33.7734601,-84.3991054,297.867,0.75,64527.76681
1,428018,33.7734601,-84.3991055,297.724,0.74,64527.76684
1,428019,33.77346,-84.3991055,297.58,0.73,64527.76687
1,428020,33.7734599,-84.3991055,297.437,0.75,64527.76691
1,428021,33.7734599,-84.3991056,297.293,0.72,64527.76694
1,428146,33.7734597,-84.3991055,298.153,0.69,64527.78006
1,428147,33.7734597,-84.3991055,298.01,0.74,64527.78009
1,428148,33.7734596,-84.3991056,297.868,0.74,64527.78013
1,428149,33.7734596,-84.3991056,297.726,0.74,64527.78016
1,428150,33.7734596,-84.3991058,297.584,0.74,64527.78019
1,428151,33.7734596,-84.3991058,297.441,0.75,64527.78022
1,428152,33.7734596,-84.3991059,297.299,0.74,64527.78026
1,428278,33.7734593,-84.3991056,298.149,0.71,64527.79338
1,428279,33.7734592,-84.3991056,298.007,0.74,64527.79341
1,428281,33.7734591,-84.3991057,297.724,0.75,64527.79347
1,428283,33.7734591,-84.3991059,297.442,0.75,64527.79354
1,428284,33.7734591,-84.3991059,297.301,0.75,64527.79357
1,428410,33.7734589,-84.3991058,298.142,0.75,64527.8067
1,428411,33.7734589,-84.3991059,298.003,0.74,64527.80673
1,428412,33.7734588,-84.3991058,297.862,0.75,64527.80676
1,428414,33.7734588,-84.3991061,297.582,0.65,64527.80683
1,428415,33.7734587,-84.3991059,297.442,0.75,64527.80686
1,428416,33.7734586,-84.399106,297.302,0.75,64527.80689
1,428417,33.7734587,-84.3991061,297.162,0.71,64527.80692
1,428542,33.7734586,-84.3991061,298.136,0.74,64527.82001
1,428543,33.7734585,-84.399106,297.996,0.72,64527.82005
1,428546,33.7734585,-84.3991063,297.579,0.73,64527.82014
1,428547,33.7734584,-84.3991062,297.44,0.75,64527.82018
1,428548,33.7734584,-84.3991063,297.301,0.75,64527.82021
1,428549,33.7734584,-84.3991065,297.163,0.73,64527.82024
1,428674,33.7734584,-84.3991063,298.265,0.71,64527.8333
1,428675,33.7734583,-84.3991063,298.125,0.73,64527.83333
1,428679,33.7734581,-84.3991064,297.573,0.74,64527.83346
1,428680,33.7734581,-84.3991064,297.435,0.75,64527.83349
1,428681,33.773458,-84.3991065,297.298,0.71,64527.83353
1,428682,33.773458,-84.3991065,297.16,0.75,64527.83356
1,428807,33.773458,-84.3991065,298.254,0.74,64527.84662
1,428808,33.773458,-84.3991065,298.116,0.73,64527.84665
1,428810,33.7734579,-84.3991067,297.843,0.69,64527.84672
1,428812,33.7734578,-84.3991067,297.569,0.71,64527.84678
1,428813,33.7734577,-84.3991066,297.432,0.75,64527.84681
1,428814,33.7734577,-84.3991067,297.296,0.71,64527.84685
1,428815,33.7734577,-84.3991068,297.159,0.74,64527.84688
1,428940,33.7734577,-84.3991068,298.246,0.72,64527.85993
1,428941,33.7734576,-84.3991068,298.109,0.7,64527.85997
1,428942,33.7734577,-84.399107,297.975,0.7,64527.86
1,428943,33.7734575,-84.3991068,297.837,0.68,64527.86003
1,428944,33.7734575,-84.3991069,297.702,0.75,64527.86007
1,428946,33.7734574,-84.3991069,297.43,0.74,64527.86013
1,428947,33.7734574,-84.399107,297.295,0.74,64527.86016
1,428948,33.7734574,-84.3991071,297.16,0.71,64527.8602
1,429074,33.7734575,-84.3991072,298.236,0.71,64527.87325
1,429075,33.7734572,-84.3991069,298.098,0.74,64527.87328
1,429076,33.7734572,-84.399107,297.963,0.74,64527.87332
1,429078,33.7734572,-84.3991071,297.695,0.74,64527.87338
1,429079,33.7734571,-84.3991071,297.56,0.73,64527.87341
1,429080,33.7734571,-84.3991072,297.426,0.75,64527.87345
1,429081,33.773457,-84.3991071,297.291,0.74,64527.87348
1,429082,33.7734571,-84.3991074,297.158,0.68,64527.87351
1,429209,33.773457,-84.3991073,298.091,0.74,64527.8866
1,429210,33.7734569,-84.3991072,297.956,0.74,64527.88663
1,429211,33.7734569,-84.3991073,297.822,0.73,64527.88667
1,429212,33.7734568,-84.3991072,297.689,0.74,64527.8867
1,429213,33.7734568,-84.3991073,297.555,0.73,64527.88673
1,429214,33.7734567,-84.3991073,297.423,0.75,64527.88677
1,429215,33.7734567,-84.3991073,297.289,0.74,64527.8868
1,429342,33.7734567,-84.3991076,298.083,0.73,64527.89992
1,429343,33.7734566,-84.3991075,297.95,0.73,64527.89995
1,429344,33.7734566,-84.3991075,297.817,0.74,64527.89998
1,429345,33.7734565,-84.3991075,297.685,0.74,64527.90002
1,429346,33.7734565,-84.3991076,297.553,0.73,64527.90005
1,429347,33.7734564,-84.3991075,297.421,0.74,64527.90008
1,429348,33.7734564,-84.3991076,297.289,0.73,64527.90012
1,429476,33.7734564,-84.3991078,298.073,0.68,64527.91324
1,429477,33.7734563,-84.3991078,297.941,0.74,64527.91327
1,429478,33.7734563,-84.3991078,297.81,0.73,64527.9133
1,429479,33.7734562,-84.3991078,297.678,0.74,64527.91333
1,429480,33.7734562,-84.3991079,297.547,0.72,64527.91337
1,429481,33.7734561,-84.3991078,297.416,0.74,64527.9134
1,429482,33.7734561,-84.399108,297.286,0.68,64527.91343
1,429609,33.773456,-84.399108,298.064,0.67,64527.92656
1,429610,33.7734559,-84.3991079,297.933,0.74,64527.92659
1,429611,33.7734559,-84.399108,297.803,0.74,64527.92662
1,429612,33.7734559,-84.3991081,297.673,0.73,64527.92665
1,429613,33.7734558,-84.3991081,297.543,0.72,64527.92669
1,429614,33.7734558,-84.3991081,297.413,0.74,64527.92672
1,429744,33.7734556,-84.3991082,297.926,0.73,64527.9399
1,429745,33.7734556,-84.3991083,297.798,0.72,64527.93994
1,429746,33.7734555,-84.3991082,297.668,0.74,64527.93997
1,429747,33.7734555,-84.3991083,297.54,0.72,64527.94
1,429748,33.7734554,-84.3991082,297.411,0.72,64527.94004
1,429878,33.7734554,-84.3991087,297.919,0.69,64527.95322
1,429879,33.7734553,-84.3991085,297.789,0.73,64527.95325
1,429880,33.7734552,-84.3991085,297.662,0.72,64527.95329
1,429881,33.7734551,-84.3991084,297.534,0.71,64527.95332
1,429882,33.7734552,-84.3991087,297.407,0.68,64527.95335
1,430012,33.7734551,-84.3991088,297.911,0.66,64527.96654
1,430013,33.7734549,-84.3991087,297.783,0.73,64527.96657
1,430014,33.773455,-84.3991088,297.657,0.74,64527.9666
1,430015,33.7734548,-84.3991087,297.529,0.72,64527.96664
1,430146,33.7734546,-84.399109,297.778,0.72,64527.97989
1,430147,33.7734546,-84.3991089,297.652,0.74,64527.97993
1,430148,33.7734545,-84.3991089,297.526,0.73,64527.97996
1,430279,33.7734543,-84.3991093,297.77,0.7,64527.99321
1,430280,33.7734542,-84.3991092,297.645,0.74,64527.99325
1,430281,33.7734543,-84.3991094,297.522,0.68,64527.99328
1,430411,33.7734539,-84.3991093,297.766,0.72,64528.00655
1,430412,33.7734539,-84.3991093,297.643,0.73,64528.00658
1,430544,33.7734536,-84.3991095,297.646,0.72,64528.0199
1,430676,33.7734532,-84.3991095,297.646,0.68,64528.03322
2,678730,33.7739904,-84.4018733,306.552,0.71,64556.36719
2,678864,33.77399,-84.4018735,306.563,0.75,64556.3805
2,678997,33.7739897,-84.4018738,306.65,0.71,64556.39378
2,678998,33.7739898,-84.4018739,306.572,0.76,64556.39381
2,678999,33.7739898,-84.4018739,306.495,0.7,64556.39384
2,679130,33.7739895,-84.4018741,306.655,0.75,64556.40709
2,679131,33.7739894,-84.4018741,306.579,0.75,64556.40712
2,679132,33.7739892,-84.4018739,306.504,0.75,64556.40716
2,679262,33.7739892,-84.4018743,306.734,0.72,64556.42037
2,679263,33.7739891,-84.4018743,306.659,0.75,64556.4204
2,679264,33.7739892,-84.4018743,306.584,0.76,64556.42043
2,679265,33.7739891,-84.4018743,306.51,0.76,64556.42047
2,679266,33.7739892,-84.4018744,306.434,0.71,64556.4205
2,679395,33.773989,-84.4018746,306.735,0.73,64556.43368
2,679396,33.7739889,-84.4018746,306.661,0.76,64556.43371
2,679397,33.7739889,-84.4018745,306.588,0.76,64556.43374
2,679398,33.7739889,-84.4018746,306.514,0.77,64556.43378
2,679399,33.773989,-84.4018747,306.44,0.76,64556.43381
2,679400,33.773989,-84.4018748,306.365,0.72,64556.43384
2,679527,33.7739887,-84.4018748,306.809,0.69,64556.44696
2,679528,33.7739887,-84.4018749,306.737,0.76,64556.44699
2,679529,33.7739886,-84.4018748,306.664,0.76,64556.44702
2,679530,33.7739887,-84.4018749,306.592,0.76,64556.44706
2,679531,33.7739887,-84.4018749,306.519,0.76,64556.44709
2,679532,33.7739886,-84.4018749,306.447,0.75,64556.44712
2,679533,33.7739887,-84.4018749,306.374,0.75,64556.44715
2,679661,33.7739885,-84.4018752,306.81,0.7,64556.46027
2,679662,33.7739884,-84.4018751,306.739,0.75,64556.4603
2,679663,33.7739884,-84.4018751,306.668,0.76,64556.46034
2,679664,33.7739884,-84.4018751,306.597,0.76,64556.46037
2,679665,33.7739885,-84.4018752,306.525,0.76,64556.4604
2,679666,33.7739884,-84.4018751,306.454,0.75,64556.46043
2,679667,33.7739885,-84.4018752,306.382,0.76,64556.46047
2,679668,33.7739885,-84.4018753,306.31,0.7,64556.4605
2,679793,33.7739882,-84.4018753,306.88,0.69,64556.47355
2,679794,33.7739883,-84.4018755,306.81,0.76,64556.47358
2,679795,33.7739882,-84.4018754,306.74,0.76,64556.47361
2,679796,33.7739883,-84.4018755,306.67,0.76,64556.47365
2,679797,33.7739882,-84.4018755,306.6,0.76,64556.47368
2,679798,33.7739882,-84.4018754,306.53,0.76,64556.47371
2,679799,33.7739882,-84.4018755,306.459,0.76,64556.47374
2,679800,33.7739881,-84.4018754,306.39,0.75,64556.47378
2,679801,33.7739881,-84.4018754,306.32,0.76,64556.47381
2,679802,33.7739883,-84.4018756,306.247,0.72,64556.47384
2,679927,33.7739881,-84.4018757,306.88,0.71,64556.48686
2,679928,33.773988,-84.4018756,306.811,0.75,64556.4869
2,679929,33.773988,-84.4018757,306.742,0.75,64556.48693
2,679930,33.773988,-84.4018757,306.673,0.76,64556.48696
2,679931,33.773988,-84.4018758,306.604,0.76,64556.48699
2,679932,33.773988,-84.4018757,306.535,0.76,64556.48703
2,679933,33.773988,-84.4018758,306.466,0.75,64556.48706
2,679934,33.773988,-84.4018758,306.397,0.76,64556.48709
2,679935,33.773988,-84.4018758,306.327,0.76,64556.48713
2,679936,33.773988,-84.4018759,306.258,0.75,64556.48716
2,680060,33.7739879,-84.401876,306.947,0.72,64556.50014
2,680061,33.7739878,-84.401876,306.88,0.75,64556.50018
2,680062,33.7739877,-84.4018759,306.812,0.75,64556.50021
2,680063,33.7739878,-84.401876,306.744,0.76,64556.50024
2,680064,33.7739878,-84.4018761,306.676,0.76,64556.50027
2,680065,33.7739878,-84.401876,306.609,0.76,64556.50031
2,680066,33.7739878,-84.4018761,306.541,0.76,64556.50034
2,680067,33.7739877,-84.4018761,306.473,0.77,64556.50037
2,680068,33.7739877,-84.401876,306.406,0.76,64556.50041
2,680069,33.7739878,-84.4018761,306.337,0.76,64556.50044
2,680070,33.7739877,-84.4018761,306.269,0.76,64556.50047
2,680071,33.7739878,-84.4018762,306.2,0.72,64556.5005
2,680193,33.7739876,-84.4018763,306.945,0.71,64556.51345
2,680205,33.7739876,-84.4018765,306.143,0.67,64556.51385
2,680325,33.7739873,-84.4018766,307.008,0.72,64556.52673
2,680326,33.7739873,-84.4018765,306.943,0.76,64556.52677
2,680328,33.7739874,-84.4018767,306.812,0.76,64556.52683
2,680329,33.7739873,-84.4018766,306.747,0.76,64556.52686
2,680331,33.7739874,-84.4018767,306.616,0.72,64556.52693
2,680332,33.7739872,-84.4018766,306.551,0.76,64556.52696
2,680333,33.7739873,-84.4018767,306.485,0.74,64556.52699
2,680335,33.7739873,-84.4018768,306.354,0.73,64556.52706
2,680336,33.7739874,-84.4018769,306.287,0.73,64556.52709
2,680338,33.7739872,-84.4018767,306.158,0.76,64556.52716
2,680339,33.7739872,-84.4018768,306.091,0.68,64556.52719
2,680458,33.7739871,-84.4018769,307.006,0.74,64556.54004
2,680459,33.773987,-84.4018768,306.941,0.76,64556.54008
2,680461,33.773987,-84.4018768,306.813,0.75,64556.54014
2,680462,33.773987,-84.4018768,306.75,0.76,64556.54018
2,680463,33.773987,-84.4018769,306.686,0.74,64556.54021
2,680464,33.773987,-84.4018769,306.621,0.76,64556.54024
2,680465,33.7739871,-84.401877,306.556,0.77,64556.54027
2,680466,33.7739871,-84.401877,306.492,0.76,64556.54031
2,680468,33.7739871,-84.401877,306.363,0.72,64556.54037
2,680469,33.773987,-84.401877,306.3,0.72,64556.5404
2,680470,33.7739872,-84.4018772,306.232,0.67,64556.54044
2,680471,33.773987,-84.4018771,306.17,0.76,64556.54047
2,680472,33.773987,-84.401877,306.106,0.75,64556.5405
2,680473,33.773987,-84.401877,306.04,0.71,64556.54054
2,680591,33.7739869,-84.4018771,307.065,0.65,64556.55332
2,680592,33.7739869,-84.4018771,307.002,0.76,64556.55336
2,680593,33.7739868,-84.4018771,306.939,0.75,64556.55339
2,680595,33.7739868,-84.4018771,306.813,0.76,64556.55346
2,680596,33.7739868,-84.4018772,306.751,0.76,64556.55349
2,680597,33.7739868,-84.4018772,306.688,0.76,64556.55352
2,680598,33.7739868,-84.4018772,306.625,0.76,64556.55355
2,680599,33.7739868,-84.4018772,306.562,0.76,64556.55359
2,680600,33.7739868,-84.4018772,306.499,0.76,64556.55362
2,680602,33.7739868,-84.4018773,306.372,0.72,64556.55368
