SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY
1,37391,33.7872584,-84.4055621,244.939,0.67,-0.127,8.902,66090.35000,169,132,153,326.0,0.220,0.663,1.000,0.398
1,37392,33.7872583,-84.4055620,244.848,0.72,-0.137,8.903,66090.35000,153,115,127,342.0,0.247,0.600,0.987,0.497
1,37393,33.7872582,-84.4055617,244.760,0.74,-0.148,8.894,66090.35000,142,91,100,350.0,0.361,0.557,0.974,0.593
1,37394,33.7872581,-84.4055615,244.672,0.75,-0.158,8.882,66090.35000,153,79,90,352.0,0.482,0.600,0.961,0.689
1,37455,33.7872580,-84.4055621,245.047,0.75,-0.117,8.775,66090.36300,126,54,46,6.0,0.635,0.494,0.953,0.281
1,37456,33.7872580,-84.4055620,244.957,0.75,-0.127,8.781,66090.36300,150,63,55,6.0,0.631,0.588,0.952,0.379
1,37457,33.7872579,-84.4055618,244.869,0.75,-0.137,8.775,66090.36300,157,78,65,8.0,0.584,0.616,0.939,0.474
1,37458,33.7872578,-84.4055617,244.780,0.76,-0.148,8.774,66090.36300,137,52,65,350.0,0.620,0.537,0.926,0.571
1,37459,33.7872577,-84.4055615,244.692,0.75,-0.158,8.772,66090.36300,139,62,48,10.0,0.655,0.545,0.914,0.667
1,37460,33.7872577,-84.4055613,244.604,0.75,-0.168,8.766,66090.36300,154,74,69,4.0,0.553,0.604,0.913,0.763
1,37523,33.7872577,-84.4055621,245.063,0.75,-0.117,8.660,66090.37600,139,58,62,358.0,0.584,0.545,0.917,0.263
1,37524,33.7872576,-84.4055618,244.977,0.75,-0.127,8.650,66090.37600,186,178,180,346.0,0.043,0.729,0.903,0.357
1,37525,33.7872575,-84.4055618,244.888,0.75,-0.137,8.655,66090.37600,192,152,156,354.0,0.208,0.753,0.891,0.454
1,37526,33.7872574,-84.4055615,244.802,0.75,-0.148,8.646,66090.37600,149,59,50,6.0,0.663,0.584,0.878,0.547
1,37527,33.7872574,-84.4055615,244.712,0.75,-0.158,8.661,66090.37600,146,58,48,6.0,0.671,0.573,0.878,0.645
1,37528,33.7872573,-84.4055613,244.626,0.75,-0.168,8.651,66090.37600,148,59,55,2.0,0.627,0.580,0.866,0.739
1,37529,33.7872572,-84.4055612,244.538,0.71,-0.178,8.658,66090.37600,138,86,78,8.0,0.435,0.541,0.854,0.835
1,37591,33.7872573,-84.4055622,245.078,0.77,-0.117,8.554,66090.39000,143,58,55,2.0,0.616,0.561,0.871,0.247
