SignId,Id,X,Y,Z,Retro,UTC,R,G,B,H,S,B,pX,pY,
1,426861,33.7734640,-84.3991046,297.721,0.71,64527.64698,117,131,93,82.0,0.290,0.514,1.000,0.491,
1,426988,33.7734636,-84.3991048,297.723,0.73,64527.66030,229,141,82,24.0,0.643,0.898,0.962,0.490,
1,427115,33.7734632,-84.3991048,297.722,0.75,64527.67362,229,161,93,30.0,0.592,0.898,0.930,0.491,
1,427116,33.7734631,-84.3991049,297.570,0.62,64527.67365,191,171,157,24.0,0.176,0.749,0.919,0.628,
1,427242,33.7734627,-84.3991049,297.722,0.76,64527.68694,227,164,82,34.0,0.639,0.890,0.887,0.491,
1,427243,33.7734626,-84.3991048,297.571,0.71,64527.68697,83,61,62,358.0,0.267,0.325,0.882,0.627,
1,427369,33.7734623,-84.3991049,297.873,0.71,64527.70022,85,113,95,142.0,0.247,0.443,0.855,0.354,
1,427370,33.7734622,-84.3991050,297.724,0.75,64527.70026,232,176,87,36.0,0.624,0.910,0.844,0.489,
1,427371,33.7734622,-84.3991051,297.575,0.74,64527.70029,210,158,97,32.0,0.537,0.824,0.842,0.623,
1,427497,33.7734618,-84.3991049,297.870,0.74,64527.71354,245,170,100,28.0,0.592,0.961,0.816,0.357,
1,427498,33.7734618,-84.3991051,297.723,0.76,64527.71357,233,174,86,36.0,0.631,0.914,0.810,0.490,
1,427499,33.7734618,-84.3991052,297.575,0.73,64527.71360,124,67,72,354.0,0.459,0.486,0.807,0.623,
1,427626,33.7734614,-84.3991051,297.869,0.74,64527.72686,239,190,87,40.0,0.635,0.937,0.778,0.358,
1,427627,33.7734613,-84.3991051,297.722,0.76,64527.72689,231,176,91,36.0,0.608,0.906,0.770,0.491,
1,427628,33.7734613,-84.3991052,297.576,0.73,64527.72692,83,64,71,338.0,0.227,0.325,0.767,0.622,
1,427629,33.7734613,-84.3991054,297.429,0.70,64527.72696,149,105,85,18.0,0.431,0.584,0.761,0.755,
1,427755,33.7734610,-84.3991053,298.017,0.71,64527.74014,169,173,139,68.0,0.196,0.678,0.741,0.224,
1,427756,33.7734609,-84.3991051,297.869,0.74,64527.74017,244,184,88,36.0,0.639,0.957,0.739,0.358,
1,427757,33.7734610,-84.3991054,297.725,0.74,64527.74021,237,179,80,38.0,0.663,0.929,0.738,0.488,
1,427758,33.7734609,-84.3991054,297.579,0.73,64527.74024,74,54,72,306.0,0.271,0.290,0.730,0.620,
1,427759,33.7734609,-84.3991054,297.433,0.73,64527.74027,226,166,76,36.0,0.663,0.886,0.730,0.752,
1,427885,33.7734606,-84.3991054,298.013,0.72,64527.75346,235,165,72,34.0,0.694,0.922,0.706,0.228,
