Id,X,Y,Z,Angle,Distance,Retro,UTC,x_cart,y_cart,z_cart,sign_id
19318760,-84.25109008300001,33.808644191999996,306.3579,0.03743,37.821999999999996,0.35700000000000004,71536.05792,1415.5837837645868,-170.7979889442465,-106.19796614008544,1972
19318875,-84.251089201,33.80864495,306.355,0.03733,37.606,0.529,71536.07123,1415.6678622600464,-170.7163178031605,-106.19504959743642,1972
19318990,-84.251088573,33.80864498,306.3552,0.03733,37.474000000000004,0.5760000000000001,71536.08455,1415.6711889916062,-170.65816754454517,-106.19525041067016,1972
19319105,-84.25108789,33.808645166,306.3593,0.03743,37.324,0.612,71536.09787,1415.6918206894654,-170.59492430588023,-106.19934750482878,1972
19319219,-84.251087202,33.808645369000004,306.3559,0.03733,37.172,0.604,71536.11119,1415.714336422525,-170.53121785418892,-106.19594419001066,1972
19319334,-84.25108651,33.808645581,306.3563,0.03733,37.019,0.588,71536.12451000001,1415.7378513123556,-170.4671411036582,-106.19634066419633,1972
19298376,-84.251124902,33.808843816,306.4578,0.027139999999999997,39.864000000000004,0.604,71533.54195,1437.7270131882349,-174.02168310515103,-106.29280846950087,1974
13427644,-84.249855052,33.868930504,289.0283,0.05802,38.039,0.769,70713.17065,8102.806721911048,-56.39945161775489,-83.86279015507716,2005
13214982,-84.25004617100001,33.87313023,297.2858,0.05802,40.789,0.424,70689.36422999999,8568.672614921816,-74.08027987920747,-91.50909674698732,2010
13215094,-84.250045199,33.873130077,297.2713,0.057920000000000006,40.554,0.741,70689.37755,8568.655623120918,-73.99034436373404,-91.49462068515459,2010
13215206,-84.250044144,33.87313009,297.2609,0.057920000000000006,40.299,0.757,70689.39087,8568.657050369826,-73.89272907721426,-91.48421988082737,2010
13215318,-84.250043076,33.873130129,297.2562,0.05802,40.041,0.7609999999999999,70689.40419,8568.661369350066,-73.79391099306724,-91.47951519672688,2010
13215430,-84.250042007,33.873130158,297.2473,0.057920000000000006,39.784,0.757,70689.41751,8568.664573415866,-73.69500034495866,-91.4706120107221,2010
13215541,-84.250040939,33.873130188000005,297.2424,0.057920000000000006,39.527,0.765,70689.43083,8568.667893801457,-73.59618226676054,-91.46570867102537,2010
13215654,-84.250039887,33.873130185,297.2414,0.05802,39.274,0.722,70689.44415,8568.667558926516,-73.49884468202731,-91.46471024165749,2010
13215767,-84.250038851,33.873130149,297.2325,0.057920000000000006,39.025,0.541,70689.45746,8568.663552881657,-73.40298745420728,-91.45581673891274,2010
13215879,-84.250037726,33.873130295,297.2273,0.057920000000000006,38.754,0.745,70689.47077999999,8568.67974014729,-73.29889528155297,-91.45059610452017,2010
13215991,-84.250036657,33.873130325,297.2261,0.05802,38.497,0.769,70689.4841,8568.683065524014,-73.19998472001248,-91.44939275481829,2010
13216103,-84.250035627,33.873130279,297.2171,0.057920000000000006,38.249,0.8079999999999999,70689.49742,8568.6779500999,-73.1046826586404,-91.44040073521455,2010
13216215,-84.250034555,33.873130318,297.2119,0.057920000000000006,37.991,0.812,70689.51074,8568.682268411094,-73.00549446652855,-91.43519604419453,2010
13216327,-84.25003346300001,33.873130399000004,297.2103,0.05802,37.728,0.804,70689.52405,8568.691250420174,-72.90445575668701,-91.43358508664733,2010
13024544,-84.250065232,33.875954101,305.4301,0.06821,43.748000000000005,0.49,70668.08742000001,8881.92248307398,-75.84152096702127,-99.2233319545694,2013
13024644,-84.25006453600001,33.875954187,305.4255,0.06821,43.578,0.753,70668.10072999999,8881.932015714972,-75.7771246325417,-99.21871939174525,2013
13024745,-84.25006395,33.875954049,305.426,0.06831,43.435,0.7879999999999999,70668.11404,8881.916708281684,-75.72290611494373,-99.21924142869739,2013
13024845,-84.250063275,33.875954094,305.4171,0.06821,43.27,0.7959999999999999,70668.12733999999,8881.92168698987,-75.66045275312598,-99.21033520207538,2013
13024947,-84.25006262,33.875954096,305.4128,0.06821,43.11,0.792,70668.14066,8881.921902350621,-75.59984994880006,-99.20603561475991,2013
13025047,-84.250061957,33.875954117,305.4128,0.06831,42.948,0.8,70668.15396,8881.924231296689,-75.53850699363403,-99.2060330859199,2013
13025149,-84.25006125,33.875954227,305.4038,0.06821,42.775,0.8,70668.16727,8881.936419991494,-75.47309282970969,-99.19701681782544,2013
13025250,-84.25006057899999,33.875954264,305.3994,0.06821,42.611000000000004,0.8,70668.18058,8881.940517589352,-75.41100962019999,-99.19261181918318,2013
13025351,-84.250059989,33.875954134000004,305.3998,0.06831,42.467,0.804,70668.19389,8881.926097419211,-75.35642100267711,-99.19303261697769,2013
13025454,-84.250059335,33.875954068,305.3885,0.06821,42.308,0.804,70668.20719,8881.918760074,-75.29591070080522,-99.18174357513999,2013
13025556,-84.250058719,33.875953865,305.3794,0.06821,42.159,0.804,70668.22051,8881.896229056516,-75.23891642817432,-99.17267572393257,2013
13025659,-84.250057919,33.875954041,305.3735,0.06831,41.965,0.8,70668.23381,8881.915743092755,-75.16489757803652,-99.16674931767875,2013
13025761,-84.250057246,33.875953956,305.3598,0.06821,41.802,0.8,70668.24712,8881.906294798338,-75.10262932147168,-99.15306324192534,2013
13025864,-84.250056646,33.875953721,305.3508,0.06821,41.657,0.8,70668.26043,8881.880214323017,-75.04711545276962,-99.14410033517879,2013
13025967,-84.250055952,33.875953679,305.3454,0.06831,41.489,0.804,70668.27374,8881.875547404688,-74.98290426667961,-99.13870760606824,2013
13026068,-84.2500553,33.875953553,305.3319,0.06821,41.331,0.804,70668.28704,8881.861551468093,-74.92257903699209,-99.1252278589509,2013
13026171,-84.250054644,33.875953435,305.3225,0.06821,41.172,0.804,70668.30035,8881.848448661087,-74.86188375708639,-99.11584687286131,2013
13026272,-84.250054007,33.875953276,305.3174,0.06831,41.018,0.8079999999999999,70668.31366,8881.830803937635,-74.80294650433103,-99.11077221714595,2013
13026373,-84.250053355,33.87595315,305.3039,0.06821,40.86,0.8079999999999999,70668.32696,8881.816808002151,-74.74262127584689,-99.09729246837196,2013
13026474,-84.250052723,33.875952983000005,305.2947,0.06821,40.707,0.812,70668.34027,8881.798270151066,-74.68414659827022,-99.08811905205994,2013
13026575,-84.250052075,33.875952849,305.2894,0.06831,40.55,0.82,70668.35358,8881.783398274689,-74.62419156508491,-99.08284053030457,2013
13026676,-84.250051354,33.875952865,305.2755,0.06821,40.375,0.812,70668.36688,8881.78515313355,-74.55748210128104,-99.06893884591636,2013
13026777,-84.250050645,33.875952856,305.2659,0.06821,40.203,0.816,70668.38019,8881.784140875949,-74.49188299048154,-99.05934101448884,2013
13026878,-84.250050045,33.875952623,305.2608,0.06831,40.058,0.816,70668.39349,8881.758287705925,-74.43636916236647,-99.05427778807325,2013
13026980,-84.250049354,33.875952636,305.2454,0.06821,39.89,0.816,70668.4068,8881.75970771378,-74.3724353836036,-99.03887653328275,2013
13027082,-84.250048675,33.875952679,305.2324,0.06821,39.725,0.812,70668.42011,8881.764458847794,-74.30961188551322,-99.02587061153645,2013
13027184,-84.25004804,33.875952631,305.2237,0.06831,39.571,0.812,70668.43341,8881.759121813531,-74.25085954084005,-99.01717874576207,2013
13027286,-84.250047407,33.875952582,305.207,0.06821,39.417,0.812,70668.44671,8881.75366267629,-74.19229215146521,-99.0004870392977,2013
13027388,-84.250046692,33.8759527,305.194,0.06821,39.243,0.812,70668.46002,8881.766733187033,-74.12613775251748,-98.98746952984084,2013
13027491,-84.25004606899999,33.875952627,305.1853,0.06831,39.092,0.8079999999999999,70668.47333,8881.758623029382,-74.06849570848277,-98.97878152392741,2013
13027595,-84.250045465,33.87595252,305.1689,0.06821,38.945,0.812,70668.48663,8881.746730662679,-74.01261154904438,-98.9623987746536,2013
13027698,-84.250044737,33.875952663,305.1558,0.06821,38.768,0.804,70668.49994,8881.762574159247,-73.94525432500421,-98.94927740135563,2013
16071209,-84.247677456,33.844597358,324.2415,0.07858,26.399,0.5489999999999999,71036.83716,5403.68867092207,145.1368223069154,-121.94264417864542,2038
16071306,-84.247676641,33.84459708,324.2281,0.07848,26.195999999999998,0.784,71036.85047,5403.65782347125,145.2122567379255,-121.92926868747054,2038
16071405,-84.24767575899999,33.844596906,324.2168,0.07848,25.98,0.82,71036.86378,5403.6385141223745,145.29389238627124,-121.91798324318052,2038
16071505,-84.247674808,33.844596835,324.2075,0.07858,25.750999999999998,0.8240000000000001,71036.87709,5403.630631867954,145.38191436377465,-121.90868793784557,2038
16071605,-84.247673993,33.844596556999996,324.1942,0.07848,25.548000000000002,0.718,71036.8904,5403.599784504488,145.45734879601855,-121.89541244278598,2038
16071705,-84.24767313,33.844596351,324.1831,0.07848,25.336,0.42700000000000005,71036.90371,5403.576925694877,145.53722591347343,-121.88433005299066,2038
15819029,-84.24718097600001,33.848588873000004,326.3651,0.03733,30.947,0.369,70998.83738,5846.451169142467,191.08088828313146,-123.67316044817017,2044
15819030,-84.24718095,33.848588831,326.0467,0.027039999999999998,30.944000000000003,0.384,70998.83741000001,5846.446217431426,191.08328523035414,-123.35476479736235,2044
15819107,-84.24718061,33.848588474,326.3689,0.03743,30.840999999999998,0.745,70998.8507,5846.4069141214395,191.11476372404582,-123.67700014725597,2044
