1953,"[list([1667211, 1667237, 1667271, 1667291, 1667615, 1667635, 1667636, 1667650, 1667651, 1667652, 1667668, 1667669, 1667690, 1667691, 1667736, 1667760, 1667761, 1667984, 1668005, 1668028, 1668055, 1668078, 1668102, 1668168, 1668185, 1668205, 1668231, 1668249, 1668262])]"
1965,"[list([1632461, 1632466, 1632470, 1632479, 1632486, 1632493, 1632498, 1632499, 1632501, 1632505, 1632509, 1632515, 1632520, 1632521, 1632524, 1632525, 1632527, 1632528, 1632533, 1632534, 1632536, 1632540, 1632556, 1632559, 1632564, 1632565, 1632638, 1632651, 1632663, 1632684, 1632697, 1632698, 1632709])]"
1972,[list([])]
1973,[list([])]
1974,[list([])]
1976,[list([])]
1977,"[list([1604919, 1604933, 1604937, 1604941, 1604945, 1604961, 1604964, 1604968, 1604972, 1604976, 1604980, 1604984, 1604988, 1604995, 1604998, 1605002, 1605006, 1605012, 1605015, 1605019, 1605024, 1605025, 1605030, 1605031, 1605034, 1605037, 1605041, 1605045, 1605049, 1605053, 1605054, 1605057, 1605058, 1605059, 1605063, 1605064, 1605065, 1605069, 1605070, 1605071, 1605076, 1605077, 1605078, 1605083, 1605084, 1605092, 1605100, 1605106, 1605114, 1605126, 1605137, 1605163, 1605177, 1605178, 1605193, 1605209])]"
1982,[list([])]
1986,"[list([1563835, 1563876, 1563891, 1563899, 1563907, 1563922])]"
1992,"[list([1555390, 1555402, 1555420])]"
1998,"[list([1157388, 1157409, 1157436])]"
1999,"[list([1154752, 1154753, 1154764, 1154765, 1154766, 1154767, 1154778, 1154779, 1154780, 1154781, 1154782, 1154783, 1154792, 1154793, 1154794, 1154795, 1154796, 1154797, 1154807, 1154808, 1154809, 1154810, 1154822, 1154823, 1154836, 1154837])]"
2005,[list([])]
2008,"[list([1127613, 1128440])]"
2010,"[list([1119987, 1120060, 1120093])]"
2013,"[list([1101154, 1101164, 1101184, 1101194, 1101195, 1101204, 1101205, 1101213, 1101214, 1101226, 1101227, 1101236, 1101237, 1101246, 1101247, 1101257, 1101258, 1101267, 1101268, 1101269, 1101279, 1101280, 1101281, 1101290, 1101291, 1101292, 1101293, 1101302, 1101303, 1101304, 1101305, 1101314, 1101315, 1101316, 1101317, 1101328, 1101329, 1101330, 1101331, 1101340, 1101341, 1101342, 1101350, 1101351, 1101352, 1101361, 1101362, 1101372, 1101373, 1101383, 1101384, 1101394, 1101395, 1101406, 1101407, 1101408, 1101418, 1101419, 1101428, 1101429, 1101439, 1101440, 1101451, 1101466, 1101483])]"
2018,[list([])]
2019,[list([])]
2020,[list([])]
2022,[list([])]
2025,[list([])]
2027,"[list([1429050, 1429078, 1429084])]"
2028,[list([1428629])]
2030,[list([])]
2033,"[list([1418015, 1418123, 1418126, 1418129, 1418132, 1418135, 1418152])]"
2034,[list([])]
2037,[list([])]
2038,[list([])]
2044,"[list([1404913, 1404924, 1404975, 1405003])]"
2049,[list([])]
2052,[list([])]
2059,"[list([717413, 717431, 717432, 717448, 717449, 717450, 717466, 717467, 717468, 717481, 717482, 717483, 717497, 717498, 717512, 717513, 717514, 717529, 717530, 717531, 717546, 717547, 717548, 717554, 717557, 717558, 717566, 717570, 717578, 717582, 717583, 717596, 717600, 717608, 717612, 717624, 717628, 717638, 717642, 717653, 717667, 717668, 717681, 717682, 717697, 717710, 717727, 717728, 717729, 717743, 717744, 717745, 717759, 717760, 717761, 717776, 717777, 717793, 717794, 717814, 717815, 717830, 717831, 717832, 717849, 717850, 717866, 717867, 717868, 717869, 717884, 717885, 717886, 717887, 717903, 717904, 717905, 717906, 717924, 717925, 717926, 717927, 717942, 717943, 717944, 717961, 717962, 717963, 717979, 717980, 717996, 717997, 718013, 718014, 718028, 718029, 718044, 718059, 718072, 718073, 718088, 718089, 718103, 718104, 718120, 718138, 718154])]"
2062,"[list([705262, 705362, 705378])]"
2063,[list([])]
2064,[list([])]
2065,[list([])]
2066,[list([])]
2068,[list([])]
2072,[list([])]
2075,[list([])]
2080,[list([])]
